kpi_id,metric,scope,dimension,formula,target_min,target_max,unit,hard_gate,notes
WIN_RATE_EASY,win_rate,easy,all,"wins_easy / runs_easy",0.65,0.80,ratio,true,"Easy should be clearly favorable to player"
WIN_RATE_STANDARD,win_rate,standard,all,"wins_standard / runs_standard",0.45,0.55,ratio,true,"Standard should stay near 50/50"
WIN_RATE_HARD,win_rate,hard,all,"wins_hard / runs_hard",0.20,0.35,ratio,true,"Hard should remain challenging but not impossible"
WIN_RATE_OVERALL,win_rate,overall,all,"wins_total / runs_total",0.40,0.60,ratio,true,"Global outcome should avoid one-sided meta"
AVG_END_TURN_OVERALL,avg_end_turn,overall,all,"sum(end_turn) / runs_total",14,20,turn,true,"Pacing should avoid too-short or too-long sessions"
AVG_END_TURN_STANDARD,avg_end_turn,standard,all,"sum(end_turn_standard) / runs_standard",15,19,turn,true,"Primary difficulty pacing baseline"
ATTRITION_RATE_OVERALL,end_reason_rate,overall,attrition,"count(end_reason=attrition) / runs_total",0.10,0.35,ratio,true,"Timeout endgame should exist but not dominate"
RESOURCE_CV_GOLDLEAF,resource_cv,overall,GoldLeaf,"avg(stddev(GoldLeaf_turn_series)/mean(GoldLeaf_turn_series))",0.18,0.45,ratio,true,"Economic volatility guardrail"
RESOURCE_CV_FIREOIL,resource_cv,overall,FireOil,"avg(stddev(FireOil_turn_series)/mean(FireOil_turn_series))",0.15,0.40,ratio,true,"Energy volatility guardrail"
RESOURCE_CV_ARMS,resource_cv,overall,Arms,"avg(stddev(Arms_turn_series)/mean(Arms_turn_series))",0.20,0.55,ratio,true,"Military stock volatility guardrail"
VICTORY_SHARE_OVERALL,end_type_rate,overall,victory,"count(end_type=victory) / runs_total",0.35,0.65,ratio,true,"Victory share should be balanced against defeat"
DEFEAT_SHARE_OVERALL,end_type_rate,overall,defeat,"count(end_type=defeat) / runs_total",0.33,0.65,ratio,true,"Defeat share should be balanced against victory"
SINGLE_PATH_VICTORY_MONOPOLY,max_single_victory_path_share,overall,all,"max(victory_path_count)/count(end_type=victory)",0.00,0.70,ratio,true,"Single-path monopoly over 70% is not acceptable"
